Channel Name,Subscribers,Total Views,Video Count,Channel ID,Channel URL
银河星系天鹅,179,26417,162,UCaDjNYJ5MrWa-8CEr7ZFNlg,https://www.youtube.com/channel/UCaDjNYJ5MrWa-8CEr7ZFNlg
穷数码CHANNEL,35,3563,15,UCmO-7dPV9_00zuV2emwUNpQ,https://www.youtube.com/channel/UCmO-7dPV9_00zuV2emwUNpQ
科技脱口秀,31,23498,191,UCbur6k9V6z6gyyYTfHrMGFA,https://www.youtube.com/channel/UCbur6k9V6z6gyyYTfHrMGFA
大Kitttty,21,5937,98,UCOlhQ7pCHkE3q36xdyLP5yQ,https://www.youtube.com/channel/UCOlhQ7pCHkE3q36xdyLP5yQ
阿牛爱捕鱼,19,1392,12,UCn2g_dgGwenJGpvoH9Xn-0A,https://www.youtube.com/channel/UCn2g_dgGwenJGpvoH9Xn-0A
辣鱼仔,15,25853,167,UCktJfwYHpgrW7tejpMxGx3Q,https://www.youtube.com/channel/UCktJfwYHpgrW7tejpMxGx3Q
耿同学讲故事,13,744,57,UCqU48PlhD3cLarHgaPvpL4Q,https://www.youtube.com/channel/UCqU48PlhD3cLarHgaPvpL4Q
九月流转,12,142,46,UCzJL5MZLAEpdRYdz17xWUBg,https://www.youtube.com/channel/UCzJL5MZLAEpdRYdz17xWUBg
任天才,11,1318,86,UCVBKMib8B1IN2QRFbcBeZBQ,https://www.youtube.com/channel/UCVBKMib8B1IN2QRFbcBeZBQ
法易—法律服务,11,18195,33,UCijxqR_c6YVYqXb7cyZmKYQ,https://www.youtube.com/channel/UCijxqR_c6YVYqXb7cyZmKYQ
洋过探世界,10,1179,47,UCJSdqrSQrEVEN27fjIIKGcw,https://www.youtube.com/channel/UCJSdqrSQrEVEN27fjIIKGcw
环球知识菌,8,231,47,UCzy4chRI_Mr468EkRhWjGOA,https://www.youtube.com/channel/UCzy4chRI_Mr468EkRhWjGOA
不寻常手机测评,6,2614,217,UCxKykJ1QKBV4w6wnUPspQ3w,https://www.youtube.com/channel/UCxKykJ1QKBV4w6wnUPspQ3w
小丹阿姨,4,6412,93,UC3k8m_NgvybSW0MkBz8-Emw,https://www.youtube.com/channel/UC3k8m_NgvybSW0MkBz8-Emw
驴唇说电影,4,278,66,UCi5-6z34AgBioy2-z33y-nw,https://www.youtube.com/channel/UCi5-6z34AgBioy2-z33y-nw
江湖,4,1461,167,UCOZLRw-MKw9S22sInvSohww,https://www.youtube.com/channel/UCOZLRw-MKw9S22sInvSohww
鲜鲜中越情,3,76,59,UCJPNG4A6Y5bWKe4TJnQRv8w,https://www.youtube.com/channel/UCJPNG4A6Y5bWKe4TJnQRv8w
沐沐荒野,3,81,65,UCAM_3aGcVagUm51VB5HAL0g,https://www.youtube.com/channel/UCAM_3aGcVagUm51VB5HAL0g
Dream乐美1,2,250,174,UCc9UjnfDm9yrtIqr6oH-QTQ,https://www.youtube.com/channel/UCc9UjnfDm9yrtIqr6oH-QTQ
星球课堂,2,0,0,UCZLVP5t4h_YtLda1ZtaGenA,https://www.youtube.com/channel/UCZLVP5t4h_YtLda1ZtaGenA
杠哥的车,2,45,79,UCEZT_2GKtwOBFSCaTuisYGw,https://www.youtube.com/channel/UCEZT_2GKtwOBFSCaTuisYGw
